id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf
63716,0,Directeur(trice) adjoint(e) expérience client -pôle fonctionnel,HORS_ROME,,26-0672,2026-05-07,Office des postes et télécommunications,emploi fonctionnel,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:33:53+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/b4f556b149b543de0eca299c6848adde/download/
63928,0,Chargé d'affaires Télécom Grand Comptes - AE,HORS_ROME,,26-0624,2026-05-14,Office des postes et télécommunications,cadre d'exploitation,contrôleur,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-13 12:56:31+11:00,2026-06-04,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/dc896c21b51524be10656637f0b0d108/download/
63724,0,Chargé(e) de la comitologie et des relations transverses - Service pilotage et performance,HORS_ROME,,26-0680,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,contrôleur,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:47:20+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/f2ee86096f24dd570796ab925d5b3932/download/
63837,0,Chef de section SAV - CPMC,HORS_ROME,,26-0717,2026-05-07,Office des postes et télécommunications,cadre technique,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-07 07:37:19+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/4fac4d8ae02775a03fe834fa53c63be4/download/
63717,0,Chargé(e) de partenariats - service Expérience client,HORS_ROME,,26-0673,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-05 09:35:54+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/2726adfeb7e9c3259fe2523b269f192e/download/
63736,0,Assistant(e) commercial(e) - section expérience commerciale,HORS_ROME,,26-0692,2026-05-07,Office des postes et télécommunications,contrôleur,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 10:12:07+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/9823d4ecc9f978c0f17ca7444f040689/download/
63730,0,Chargé(e) de relation client et vente - section relation clientèle,HORS_ROME,,26-0686,2026-05-07,Office des postes et télécommunications,agent d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 10:02:37+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/a563169faf59c5df48fdf8059ab0c0ff/download/
63976,0,Conseiller financier multi canal - Service relations clients,HORS_ROME,,26-0751,2026-05-14,Office des postes et télécommunications,contrôleur,,,,,,AUTRE,Office des postes et télécommunications,OPT,,,2026-05-13 14:44:02+11:00,2026-06-04,,,,,,,,,,,,,,,,,,,,,PUBLIE,5,vacant,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/d9ea9d774ef01ef402ddd5eed06b34f5/download/
63803,0,Chef(fe) de centre - Agence Entreprises,HORS_ROME,,26-0712,2026-05-07,Office des postes et télécommunications,cadre technique,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-06 14:44:36+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/c3432e374d09377b3c2b9ec9fb2e004a/download/
63725,0,Chef(fe) de section appui stratégique - service pilotage et performance,HORS_ROME,,26-0681,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:49:00+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/fbe87dd1f912b7f4848ccdf93eaa943e/download/
63971,0,Psychologue - service développement des compétences,HORS_ROME,,26-0746,2026-05-14,Office des postes et télécommunications,psychologue,,médico-sociale et travail,,,2026-10-19 00:00:00+11:00,A_DATE,Office des postes et télécommunications,OPT,,,2026-05-13 14:33:43+11:00,2026-06-04,,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/78929e47a20fc7188db1bfd08fa8dcd9/download/
63735,0,Chargé(e) de l'animation commerciale - section expérience commerciale,HORS_ROME,,26-0691,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 10:10:32+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/3eb212cf7e1ca947d2656bdb7bb29b2c/download/
63729,0,Che(fe) de service pilotage et performance - service pilotage et performance,HORS_ROME,,26-0685,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:57:26+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/cf4866af38a7fb470d87d1cea71286a0/download/
63728,0,Chef(fe) de projet - Service Pilotage et Performance,HORS_ROME,,26-0684,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:54:27+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/050299f7287ff459b4b93265507000a9/download/
